marker,total_occurrences,chi2,p_value,cramers_v,significant,class_frequencies,peak_class,peak_frequency,category
weeks,26,17.79331837998435,0.0013543116713318959,0.030073373032936314,False,"{'SAME_DAY': 0.0, 'IMMEDIATE_UPDATE': 0.0, 'SHORT_TERM_DEV': 0.0008828722778104767, 'LONG_TERM_DEV': 0.0010957703265395574, 'DISTANT_RELATED': 0.0027620070584624826}",DISTANT_RELATED,0.0027620070584624826,time_references
additional,27,17.708672256991374,0.0014068184338108744,0.030001755444041454,False,"{'SAME_DAY': 0.0, 'IMMEDIATE_UPDATE': 0.00028074115665356543, 'SHORT_TERM_DEV': 0.0, 'LONG_TERM_DEV': 0.002410694718387026, 'DISTANT_RELATED': 0.0023016725487187356}",LONG_TERM_DEV,0.002410694718387026,update_indicators
week,99,15.939252037587208,0.0031017710132086136,0.028463456324168027,False,"{'SAME_DAY': 0.0030599755201958386, 'IMMEDIATE_UPDATE': 0.0025266704098820887, 'SHORT_TERM_DEV': 0.008828722778104767, 'LONG_TERM_DEV': 0.005478851632697786, 'DISTANT_RELATED': 0.004603345097437471}",SHORT_TERM_DEV,0.008828722778104767,time_references
reveals,129,14.477073968603365,0.005918251629305964,0.027126518780988578,False,"{'SAME_DAY': 0.0024479804161566705, 'IMMEDIATE_UPDATE': 0.0050533408197641775, 'SHORT_TERM_DEV': 0.005885815185403178, 'LONG_TERM_DEV': 0.010081087004163927, 'DISTANT_RELATED': 0.00629123829983121}",LONG_TERM_DEV,0.010081087004163927,statement_verbs
fallout,16,14.344807023445385,0.006272122539142354,0.027002316384739607,False,"{'SAME_DAY': 0.0, 'IMMEDIATE_UPDATE': 0.0022459292532285235, 'SHORT_TERM_DEV': 0.0005885815185403178, 'LONG_TERM_DEV': 0.0, 'DISTANT_RELATED': 0.0009206690194874942}",IMMEDIATE_UPDATE,0.0022459292532285235,backward_references
denies,100,13.635449749693105,0.008554213594655814,0.02632621356503062,False,"{'SAME_DAY': 0.004283965728274173, 'IMMEDIATE_UPDATE': 0.005334081976417743, 'SHORT_TERM_DEV': 0.0020600353148911123, 'LONG_TERM_DEV': 0.007889546351084813, 'DISTANT_RELATED': 0.00475678993401872}",LONG_TERM_DEV,0.007889546351084813,negation_denial
live,63,13.629525040447113,0.008576340732573922,0.02632049347106335,False,"{'SAME_DAY': 0.004283965728274173, 'IMMEDIATE_UPDATE': 0.005334081976417743, 'SHORT_TERM_DEV': 0.0005885815185403178, 'LONG_TERM_DEV': 0.0026298487836949377, 'DISTANT_RELATED': 0.003529231241368728}",IMMEDIATE_UPDATE,0.005334081976417743,breaking_news
rejected,11,12.804915695549646,0.012269414233618176,0.025511854433949415,False,"{'SAME_DAY': 0.0, 'IMMEDIATE_UPDATE': 0.0, 'SHORT_TERM_DEV': 0.0, 'LONG_TERM_DEV': 0.00043830813061582295, 'DISTANT_RELATED': 0.0013810035292312413}",DISTANT_RELATED,0.0013810035292312413,negation_denial
another,88,12.637569463321515,0.013189417997727316,0.02534460017282132,False,"{'SAME_DAY': 0.0055079559363525096, 'IMMEDIATE_UPDATE': 0.007860752386299831, 'SHORT_TERM_DEV': 0.0038257798705120657, 'LONG_TERM_DEV': 0.003287310979618672, 'DISTANT_RELATED': 0.003529231241368728}",IMMEDIATE_UPDATE,0.007860752386299831,update_indicators
rejects,27,12.10245018867625,0.016605460027794776,0.024802206462202717,False,"{'SAME_DAY': 0.0036719706242350062, 'IMMEDIATE_UPDATE': 0.0008422234699606962, 'SHORT_TERM_DEV': 0.0005885815185403178, 'LONG_TERM_DEV': 0.0006574621959237344, 'DISTANT_RELATED': 0.0019947828755562374}",SAME_DAY,0.0036719706242350062,negation_denial
reacted,15,12.055176093129447,0.016945643582281383,0.024753718383498838,False,"{'SAME_DAY': 0.0, 'IMMEDIATE_UPDATE': 0.0, 'SHORT_TERM_DEV': 0.0005885815185403178, 'LONG_TERM_DEV': 0.00043830813061582295, 'DISTANT_RELATED': 0.0016878932023937393}",DISTANT_RELATED,0.0016878932023937393,backward_references
no,248,11.66593387657045,0.02001630753266094,0.02435081054102308,False,"{'SAME_DAY': 0.012851897184822521, 'IMMEDIATE_UPDATE': 0.01712521055586749, 'SHORT_TERM_DEV': 0.014714537963507945, 'LONG_TERM_DEV': 0.011396011396011397, 'DISTANT_RELATED': 0.009820469541199939}",IMMEDIATE_UPDATE,0.01712521055586749,negation_denial
denied,30,10.654259164249376,0.03073716066253037,0.02327101332581362,False,"{'SAME_DAY': 0.0012239902080783353, 'IMMEDIATE_UPDATE': 0.0022459292532285235, 'SHORT_TERM_DEV': 0.0020600353148911123, 'LONG_TERM_DEV': 0.002410694718387026, 'DISTANT_RELATED': 0.0003068896731624981}",LONG_TERM_DEV,0.002410694718387026,negation_denial
hour,35,10.242292727067817,0.0365382007337421,0.02281666985456916,False,"{'SAME_DAY': 0.0012239902080783353, 'IMMEDIATE_UPDATE': 0.0008422234699606962, 'SHORT_TERM_DEV': 0.0017657445556209534, 'LONG_TERM_DEV': 0.0008766162612316459, 'DISTANT_RELATED': 0.003068896731624981}",DISTANT_RELATED,0.003068896731624981,time_references
month,64,9.622027700039377,0.047299346790037056,0.02211500123122583,False,"{'SAME_DAY': 0.0024479804161566705, 'IMMEDIATE_UPDATE': 0.001403705783267827, 'SHORT_TERM_DEV': 0.0020600353148911123, 'LONG_TERM_DEV': 0.0041639272408503175, 'DISTANT_RELATED': 0.004449900260856223}",DISTANT_RELATED,0.004449900260856223,time_references
days,120,8.850464363431847,0.06494779505853447,0.021209805959357095,False,"{'SAME_DAY': 0.0018359853121175031, 'IMMEDIATE_UPDATE': 0.005614823133071308, 'SHORT_TERM_DEV': 0.006474396703943496, 'LONG_TERM_DEV': 0.005259697567389875, 'DISTANT_RELATED': 0.007825686665643702}",DISTANT_RELATED,0.007825686665643702,time_references
morning,11,8.683980854833154,0.06950253135657616,0.021009373171199545,False,"{'SAME_DAY': 0.0, 'IMMEDIATE_UPDATE': 0.0, 'SHORT_TERM_DEV': 0.0, 'LONG_TERM_DEV': 0.0010957703265395574, 'DISTANT_RELATED': 0.0009206690194874942}",LONG_TERM_DEV,0.0010957703265395574,time_references
